name,command,clear
PROGRAM 1,11FE,11FF
PROGRAM 2,11FD,11FF
PROGRAM 3,11FB,11FF
PROGRAM 4,11F7,11FF
PROGRAM NET 1,11EF,11FF
PROGRAM NET 2,11DF,11FF
PROGRAM DDR 1,11BF,11FF
PROGRAM DDR 2,117F,11FF
PROGRAM GFX 2,14FE,14FF
PROGRAM BLACK,14FD,14FF
PROGRAM M/E 1,14FB,14FF
PROGRAM M/E 2,14F7,14FF
PROGRAM M/E 3,14EF,14FF
PROGRAM M/E 4,14DF,14FF
PREVIEW 1,12FE,12FF
PREVIEW 2,12FD,12FF
PREVIEW 3,12FB,12FF
PREVIEW 4,12F7,12FF
PREVIEW NET 1,12EF,12FF
PREVIEW NET 2,12DF,12FF
PREVIEW DDR 1,12BF,12FF
PREVIEW DDR 2,127F,12FF
PREVIEW GFX 2,13FE,13FF
PREVIEW BLACK,13FD,13FF
PREVIEW M/E 1,13FB,13FF
PREVIEW M/E 2,13F7,13FF
PREVIEW M/E 3,13EF,13FF
PREVIEW M/E 4,13DF,13FF
FX/OVERLAY 1,10FE,10FF
FX/OVERLAY 2,10FD,10FF
FX/OVERLAY 3,10FB,10FF
FX/OVERLAY 4,10F7,10FF
FX/OVERLAY NET 1,10EF,10FF
FX/OVERLAY NET 2,10DF,10FF
FX/OVERLAY DDR 1,10BF,10FF
FX/OVERLAY DDR 2,107F,10FF
FX/OVERLAY GFX 2,14BF,14FF
FX/OVERLAY BLACK,147F,14FF
SHIFT,15EF,15FF
ALT,15DF,15FF
SWITCHER DELEGATE MAIN,17E8,17EC
SWITCHER DELEGATE M/E 1,15FE,15FF
SWITCHER DELEGATE M/E 2,15FD,15FF
SWITCHER DELEGATE M/E 3,15FB,15FF
SWITCHER DELEGATE M/E 4,15F7,15FF
TRANSITION DELEGATE BKGD,17AC,17EC
OVERLAY DELEGATE DSK 1,15BF,15FF
OVERLAY DELEGATE DSK 2,157F,15FF
TRANSITION DELEGATE FTB,176C,17EC
TAKE,13BF,13FF
AUTO,137F,13FF
SELECT KNOB CLICK,17E4,17EC
SELECT KNOB 0,1900,
SELECT KNOB 1,1901,
SELECT KNOB 2,1902,
SELECT KNOB 3,1903,
SELECT KNOB 4,1904,
SELECT KNOB 5,1905,
SELECT KNOB 6,1906,
SELECT KNOB 7,1907,
SELECT KNOB 8,1908,
SELECT KNOB 9,1909,
SELECT KNOB 10,190A,
SELECT KNOB 11,190B,
SELECT KNOB 12,190C,
SELECT KNOB 13,190D,
SELECT KNOB 14,190E,
SELECT KNOB 15,190F,
SELECT KNOB 16,1910,
SELECT KNOB 17,1911,
SELECT KNOB 18,1912,
SELECT KNOB 19,1913,
SELECT KNOB 20,1914,
SELECT KNOB 21,1915,
SELECT KNOB 22,1916,
SELECT KNOB 23,1917,
SELECT KNOB 24,1918,
SELECT KNOB 25,1919,
SELECT KNOB 26,191A,
SELECT KNOB 27,191B,
SELECT KNOB 28,191C,
SELECT KNOB 29,191D,
SELECT KNOB 30,191E,
SELECT KNOB 31,191F,
SELECT KNOB 32,1920,
SELECT KNOB 33,1921,
SELECT KNOB 34,1922,
SELECT KNOB 35,1923,
SELECT KNOB 36,1924,
SELECT KNOB 37,1925,
SELECT KNOB 38,1926,
SELECT KNOB 39,1927,
SELECT KNOB 40,1928,
SELECT KNOB 41,1929,
SELECT KNOB 42,192A,
SELECT KNOB 43,192B,
SELECT KNOB 44,192C,
SELECT KNOB 45,192D,
SELECT KNOB 46,192E,
SELECT KNOB 47,192F,
SELECT KNOB 48,1930,
SELECT KNOB 49,1931,
SELECT KNOB 50,1932,
SELECT KNOB 51,1933,
SELECT KNOB 52,1934,
SELECT KNOB 53,1935,
SELECT KNOB 54,1936,
SELECT KNOB 55,1937,
SELECT KNOB 56,1938,
SELECT KNOB 57,1939,
SELECT KNOB 58,193A,
SELECT KNOB 59,193B,
SELECT KNOB 60,193C,
SELECT KNOB 61,193D,
SELECT KNOB 62,193E,
SELECT KNOB 63,193F,
SELECT KNOB 64,1940,
SELECT KNOB 65,1941,
SELECT KNOB 66,1942,
SELECT KNOB 67,1943,
SELECT KNOB 68,1944,
SELECT KNOB 69,1945,
SELECT KNOB 70,1946,
SELECT KNOB 71,1947,
SELECT KNOB 72,1948,
SELECT KNOB 73,1949,
SELECT KNOB 74,194A,
SELECT KNOB 75,194B,
SELECT KNOB 76,194C,
SELECT KNOB 77,194D,
SELECT KNOB 78,194E,
SELECT KNOB 79,194F,
SELECT KNOB 80,1950,
SELECT KNOB 81,1951,
SELECT KNOB 82,1952,
SELECT KNOB 83,1953,
SELECT KNOB 84,1954,
SELECT KNOB 85,1955,
SELECT KNOB 86,1956,
SELECT KNOB 87,1957,
SELECT KNOB 88,1958,
SELECT KNOB 89,1959,
SELECT KNOB 90,195A,
SELECT KNOB 91,195B,
SELECT KNOB 92,195C,
SELECT KNOB 93,195D,
SELECT KNOB 94,195E,
SELECT KNOB 95,195F,
SELECT KNOB 96,1960,
SELECT KNOB 97,1961,
SELECT KNOB 98,1962,
